"","track_name","artist.s._name","released_year","released_month","in_spotify_playlists","listas_spotify_log","bpm","porcentaje_bailable","porcentaje_energia","porcentaje_acustica","porcentaje_instrumental","porcentaje_voz","porcentaje_envivo","modo","valencia","clave_sol"
"190","Take Me To Church","Hozier",2013,9,23804,10.0776089127647,129,57,66,63,0,5,12,"Minor",41,0
"191","Bebe Dame","Fuerza Regida, Grupo Frontera",2022,12,849,6.74405918631135,157,54,60,30,0,5,7,"Major",75,1
"192","You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve","Taylor Swift",2021,4,2619,7.87054784450771,130,63,73,5,0,3,9,"Major",49,0
"193","Titi Me Preguntï¿","Bad Bunny",2022,5,9037,9.10908253990196,107,65,72,10,0,25,13,"Minor",19,0
"194","Better Than Revenge (Taylor's Version)","Taylor Swift",2023,7,86,4.45434729625351,146,50,89,0,0,8,19,"Minor",67,0
"195","Shut up My Moms Calling","Hotel Ugly",2020,2,1788,7.48885295573346,139,48,41,32,0,10,10,"Minor",37,0
"196","Have You Ever Seen The Rain?","Creedence Clearwater Revival",1968,7,15890,9.67344525953076,116,74,70,7,0,3,13,"Major",76,0
"197","Es un Secreto","Plan B",2010,7,492,6.19847871649231,95,84,77,12,0,4,7,"Minor",52,0
"198","POLARIS - Remix","Feid, Mora, Saiko, Quevedo",2023,6,773,6.65027904858742,170,62,80,15,0,7,37,"Minor",55,0
"199","Ditto","NewJeans",2022,12,1154,7.05098944706805,134,81,64,3,0,11,10,"Minor",18,0
"200","Take On Me","a-ha",1984,10,44927,10.712794229303,84,57,90,2,0,5,9,"Minor",86,0
"201","Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",2023,6,551,6.31173480915291,146,61,48,21,0,6,12,"Minor",20,0
"202","Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",2023,5,577,6.3578422665081,74,53,67,11,0,28,10,"Minor",24,0
"203","Acrï¿½ï¿½s","Shakira",2023,5,955,6.86171134048073,144,75,48,84,0,12,10,"Major",35,0
"204","AMG","Natanael Cano, Gabito Ballesteros, Peso Pluma",2022,11,995,6.90274273715859,136,77,73,15,0,10,27,"Minor",79,0
"205","Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",2023,5,178,5.18178355029209,100,56,55,53,0,4,12,"Major",53,0
"206","S-Class","Stray Kids",2023,6,290,5.66988092298052,105,89,78,9,0,33,7,"Minor",67,0
"207","Hits Different","Taylor Swift",2023,5,547,6.30444880242198,106,67,78,15,0,4,30,"Major",24,0
"208","Chanel","Becky G, Peso Pluma",2023,3,681,6.52356230614951,132,85,68,40,0,4,9,"Major",53,0
"209","Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray)","Metro Boomin, Coi Leray",2023,6,332,5.80513496891649,120,78,30,21,0,5,13,"Major",5,0
"210","Area Codes","Kaliii, Kaliii",2023,3,1197,7.08757370555797,155,82,39,2,0,49,9,"Major",51,0
"211","Abcdario","Junior H, Eden Muï¿½ï",2023,5,262,5.5683445037611,129,70,43,78,0,3,11,"Major",42,0
"212","Obsessed","Abhijay Sharma, Riar Saab",2022,9,161,5.08140436498446,135,80,74,62,0,9,8,"Minor",85,0
